link,amazon,agency,date,ext
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150930_1538.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150930,1538.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150719_0142.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150719,0142.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150626_0338.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150626,0338.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150308_0135.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150308,0135.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150228_0137.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150228,0137.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150227_0117.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150227,0117.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150207_0151.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150207,0151.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20150101_0142.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20150101,0142.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20141224_0131.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20141224,0131.zip
http://gtfs.s3.amazonaws.com/chicago-transit-authority_20141220_0134.zip,http://gtfs.s3.amazonaws.com/,chicago-transit-authority,20141220,0134.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20121002_0305.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20121002,0305.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120830_0319.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120830,0319.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120713_0327.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120713,0327.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120624_0314.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120624,0314.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120528_0306.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120528,0306.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120525_0320.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120525,0320.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120426_0308.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120426,0308.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120414_0307.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120414,0307.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120319_0430.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120319,0430.zip
http://gtfs.s3.amazonaws.com/pace-suburban-bus-service_20120111_0431.zip,http://gtfs.s3.amazonaws.com/,pace-suburban-bus-service,20120111,0431.zip
http://gtfs.s3.amazonaws.com/metra_20130308_0424.zip,http://gtfs.s3.amazonaws.com/,metra,20130308,0424.zip
http://gtfs.s3.amazonaws.com/metra_20130202_0429.zip,http://gtfs.s3.amazonaws.com/,metra,20130202,0429.zip
http://gtfs.s3.amazonaws.com/metra_20120916_0351.zip,http://gtfs.s3.amazonaws.com/,metra,20120916,0351.zip
